
-57,11714
-57,11719
-57,11725
-57,11731
-58,11737
-58,11743
-58,11748
-58,11754
-58,11760
-58,11765
-58,11771
-58,11777
-57,11783
-57,11788
-58,11794
-58,11800
-58,11805
-58,11811
-59,11816
-59,11823
-59,11829
-59,11834
-58,11840
-58,11845
-58,11851
-58,11857
-58,11863
-58,11869
-58,11874
-58,11880
-57,11885
-58,11891
-59,11897
-59,11902
-59,11909
-59,11914
-58,11920
-58,11926
-58,11931
-57,11937
-56,11942
-56,11949
-56,11954
-56,11960
-56,11966
-57,11971
-57,11977
-57,11982
-57,11988
-58,11995
-58,12000
-58,12006
-58,12011
-59,12017
-59,12023
-59,12028
-59,12035
-59,12040
-58,12046
-58,12051
-58,12057
-57,12063
-57,12068
-57,12075
-57,12080
-57,12086
-57,12092
-58,12097
-58,12103
-58,12108
-58,12114
-58,12120
-58,12126
-58,12132
-58,12137
-58,12143
-57,12148
-57,12154
-58,12161
-58,12166
-58,12172
-58,12177
-59,12183
-59,12189
-59,12194
-59,12200
-59,12206
-59,12212
-58,12217
-58,12223
-58,12229
-58,12234
-58,12240
-58,12246
-58,12252
-58,12258
-59,12263
-58,12269
-59,12274
-59,12280
-58,12285
-58,12292
-58,12298
-58,12303
-57,12309
-57,12314
-56,12320
-57,12326
-57,12332
-57,12338
-57,12343
-57,12349
-58,12354
-58,12360
-57,12366
-57,12371
-58,12378
-58,12383
-57,12389
-58,12395
-58,12400
-58,12406
-58,12411
-58,12418
-58,12424
-58,12429
-58,12435
-57,12440
-57,12446
-57,12451
-57,12457
-57,12464
-57,12469
-58,12475
-57,12480
-57,12486
-57,12492
-58,12497
-58,12504
-58,12509
-58,12515
-58,12520
-58,12526
-58,12532
-58,12537
-58,12544
-58,12549
-58,12555
-59,12561
-58,12566
-58,12572
-58,12577
-58,12583
-57,12590
-57,12595
-58,12601
-58,12606
-58,12612
-58,12617
-58,12623
-58,12630
-58,12635
-58,12641
-58,12646
-58,12652
-58,12658
-58,12663
-58,12669
-58,12675
-58,12681
-58,12686
-58,12692
-57,12698
-57,12703
-58,12709
-59,12715
-59,12721
-59,12727
-59,12732
-59,12738
-58,12743
-58,12749
-58,12755
-58,12761
-58,12767
-58,12772
-58,12778
-59,12783
-59,12789
-58,12795
-57,12801
-57,12807
-56,12812
-56,12818
-56,12824
-56,12829
-57,12835
-58,12840
-58,12847
-57,12852
-58,12858
-58,12864
-57,12869
-57,12875
-57,12880
-57,12887
-57,12893
-57,12898
-57,12904
-57,12909
-57,12915
-57,12921
-57,12926
-58,12933
-58,12938
-58,12944
-58,12949
-58,12955
-57,12961
-56,12966
-56,12973
-56,12978
-56,12984
-57,12990
-57,12995
-58,13001
-58,13006
-59,13012
-59,13018
-59,13024
-59,13030
-59,13035
-59,13041
-58,13046
-57,13052
-58,13059
-58,13064
-57,13070
-57,13075
-58,13081
-58,13086
-59,13092
-59,13099
-59,13104
-58,13110
-58,13115
-58,13121
-58,13127
-58,13132
-58,13138
-58,13144
-58,13150
-58,13156
-57,13161
-57,13167
-58,13172
-58,13178
-58,13184
-58,13190
-59,13196
-59,13201
-59,13207
-59,13212
-59,13218
-59,13224
-59,13230
-59,13236
-59,13241
-59,13247
-58,13252
-59,13258
-58,13264
-58,13270
-58,13276
-58,13281
-57,13287
-57,13293
-57,13298
-57,13304
-57,13309
-57,13316
-57,13322
-57,13327
-57,13333
-58,13338
-58,13344
-58,13349
-58,13356
-58,13362
-59,13367
-58,13373
-58,13378
-58,13384
-58,13390
-58,13395
-58,13402
-58,13407
-57,13413
-57,13418
-57,13424
-57,13430
-58,13435
-58,13442
-58,13447
-57,13453
-58,13459
-58,13464
-58,13470
-58,13475
-58,13481
-57,13488
-58,13493
-57,13499
